1|7|5|0|8|40.0|10:02:2018
2|7|5|0|8|36.0|10:02:2018
3|7|5|0|8|55.0|10:02:2018
4|7|5|0|8|4.0|10:02:2018
5|7|5|0|8|33.0|10:02:2018
6|7|5|0|8|46.0|10:02:2018
7|1|5|0|6|52.0|12:03:2018
8|1|5|0|8|1.0|10:02:2018
9|1|5|0|8|42.0|10:02:2018
10|1|5|0|8|44.0|10:02:2018
11|1|5|0|8|24.0|10:02:2018
12|1|4|0|8|15.0|10:02:2018
13|1|5|0|8|10.0|10:02:2018
14|1|5|0|8|21.0|10:02:2018
15|1|5|0|8|4.0|10:02:2018
16|1|5|0|8|26.0|10:02:2018
17|1|5|0|8|14.0|10:02:2018
18|1|5|0|8|51.0|10:02:2018
19|1|5|0|8|24.0|10:02:2018
20|1|5|0|8|10.0|10:02:2018
21|1|5|0|8|6.0|10:02:2018
22|1|5|0|8|30.0|10:02:2018
23|1|5|0|8|30.0|10:02:2018
24|1|5|0|8|18.0|10:02:2018
25|1|5|0|8|36.0|10:02:2018
26|1|5|0|8|44.0|10:02:2018
27|1|5|0|8|56.0|10:02:2018
28|1|5|0|8|5.0|10:02:2018
29|1|5|0|8|3.0|10:02:2018
30|0|0|0|1|0.0|
31|0|6|0|15|0.0|01:01:2018
32|11|0|0|15|0.0|
33|11|6|0|15|0.0|01:01:2028
34|12|0|0|0|10.0|
35|12|0|0|0|10.0|
36|12|1|0|0|10.0|
37|11|4|0|2|0.0|
